element,p_value,t,difference,female_total_mean,female_individual_sd,female_btwn_sd,female_total_sd,male_total_mean,male_individual_sd,male_btwn_sd,male_total_sd
arsenic,0.9312391336730502,-0.0882821860838888,-0.0061399054166666614,0.17202563333333334,0.3071997456046581,0.14108457625549337,0.33804813467427797,0.17816553875,0.31750559099676695,0.22580997426954122,0.3896151239284958
barium,0.15061229126102987,1.5450047452474622,24.420970833333328,64.98235277777778,103.28909400107801,59.721490456722655,119.31174863330077,40.56138194444445,71.18696930649871,31.897401665928037,78.00659479865749
bromine,0.2663606564102667,-1.1709486808698584,-2.8372694444444444,28.301295833333334,32.35061572621347,6.735736636877213,33.044401733221015,31.13856527777778,36.26931776897021,8.900460582806025,37.345436267536385
calcium,0.9456661768182942,-0.06972214403674527,-8.535749999999984,972.3069027777777,1134.1488886352638,335.67375360881374,1182.7808632432445,980.8426527777777,1151.856531702566,311.1267064071321,1193.1359088828121
cerium,NA,NA,0,0,0,0,0,0,0,0,0
chlorine,0.06160447054495806,-2.0808790997814453,-136.31725,348.9902638888889,404.1892625433832,156.29486478840093,433.3555638440431,485.3075138888889,572.2453495570874,261.01583039344007,628.962641025435
chromium,0.7350389372819348,0.34713691148201803,0.0689766486111111,0.7304478277777777,1.1648706414207461,0.5864139463115834,1.304149120182468,0.6614711791666666,1.0628950370187589,0.3880098563653434,1.1315023236192505
copper,0.8558476909636501,0.18597737693967134,0.182808611111111,6.537438194444444,7.281112032925325,3.2089809016554027,7.9568932921837705,6.354629583333334,7.191690574724094,1.7444609785641214,7.400240362873915
dysprosium,0.06309488276695459,2.067036134572195,0.6921345833333334,2.652287361111111,3.254478961604689,1.1441591083509555,3.449743958143849,1.9601527777777776,2.6460722793060723,1.1897967316152325,2.9012608931073953
gadolinium,0.09491793913702018,-1.827088640935721,-0.20095500000000002,0,0,0,0,0.20095500000000002,0.49223721126099357,0.38100425150336104,0.6224642253283609
iron,0.09155039649776807,-1.8486161882363077,-42.91031527777778,99.09416805555556,114.68407232371906,83.86912418147695,142.07908514528106,142.00448333333333,171.44219246561545,142.7516134523045,223.09291450123038
lead,0.6289272541955766,-0.4970664643680587,-0.034035111111111106,0.09783156944444445,0.23963742587454687,0.11404138024588335,0.2653893974675045,0.13186668055555556,0.19467368143497848,0.19533181798493632,0.2757759259992572
manganese,0.27195125728252734,1.1565629505194364,4.778106805555555,20.603841666666668,24.151437277131148,18.8169459344333,30.61648864338603,15.825734861111112,18.636492681781423,7.153984959600815,19.96242370756335
mercury,0.19038706781955408,-1.395532610820188,-2.345222666666667,3.401726611111111,4.1973377189759304,5.3480334411869075,6.798463474579497,5.7469492777777775,6.701993363858257,10.330373349536128,12.31394853773583
nickel,0.559980210713655,-0.6010624474016429,-0.060483624999999985,0.5306748333333333,0.7283721537675028,0.632961816597697,0.9649697692956849,0.5911584583333334,0.7667900811935128,0.45234067497814906,0.8902691249596615
nitrogen,0.4200244369826096,0.8377070331082818,1643.8333333333383,283492.8611111111,310803.79068995843,6981.444358618896,310882.1913081867,281849.02777777775,308926.51151142863,4217.122499516225,308955.2939128844
phosphorus,NA,NA,0,0,0,0,0,0,0,0,0
potassium,0.40974120663196856,-0.8569738086205121,-136.65045833333338,1680.7335138888889,1897.74042384396,882.9816459310741,2093.1018377858736,1817.3839722222224,2035.8282665813958,723.8454867839016,2160.6825356236936
praseodymium,0.991996854750517,0.010260908534592508,6.759722222222283e-4,0.04493680555555556,0.11007224428177548,0.15566566070413124,0.19065071959916793,0.04426083333333333,0.10841645725703579,0.15332402423734298,0.1877828123458055
rubidium,0.07461609831387918,-1.9693375663249184,-0.6358649999999999,1.9656969444444445,2.2924733319985466,1.1337846975062817,2.5575186642962997,2.601561944444444,3.048365597989882,1.5368438530696922,3.41385732679711
samarium,0.28733705135198034,1.118127409652858,0.15912208333333333,0.22195458333333334,0.5436754752387141,0.4064814809932516,0.6788300352566236,0.0628325,0.15390756426342403,0.21765816473314295,0.26657572097342247
selenium,0.753089054507319,0.3225427584884811,0.006657277777777777,0.023755541666666664,0.04562050702956261,0.04889750777195819,0.06687448637517213,0.01709826388888889,0.03029546080946503,0.0469084661117464,0.05584101663306903
sppdp_z_l,NA,NA,0,0,0,0,0,0,0,0,0
strontium,0.1368583083699343,1.6047185306859184,1.4385079166666672,11.809887083333333,13.863031145954764,5.568637496728058,14.939657162186741,10.371379166666667,11.945889425841054,4.297242900477619,12.695297189121899
sulfur,0.5432938668650376,0.6272526492977203,3.7454444444444452,12.165333333333333,20.138339020311427,19.72277002288487,28.187592232622563,8.419888888888888,17.349608832487206,11.392977151861805,20.75593541672269
titanium,0.28436639255682566,1.1254221737710923,70.74098194444446,171.4216615277778,291.3872906469215,221.93745494188124,366.2823870412459,100.68067958333333,191.78884317071044,97.05017701534787,214.94580066488788
tungsten,0.3434033646642144,-0.9901027880961131,-0.8823880555555556,0.17692229166666665,0.2966183656123205,0.3084865406052615,0.4279560731583627,1.0593103472222223,1.9952373728334547,3.0256355731832127,3.624285142709256
yttrium,0.3388006961962018,1,0.13146625,0.15298166666666665,0.26953885708331143,0.5299440385864655,0.594551830802926,0.021515416666666665,0.05270179243670623,0.07453158962536176,0.09128218215032437
zinc,0.37643095147530015,0.9217536829116305,8.980770972222224,36.523128472222226,45.9747304621863,85.87205797250964,97.40475440913927,27.542357499999998,35.16417019601999,52.74875558110067,63.395189730210284
